"st","year","series","value"
"NJ",2016,"population",8873.584
"NJ",2017,"population",8888.147
"NJ",2018,"population",8891.73
"NJ",2019,"population",8891.258
"NJ",2020,"population",9279.743
"NJ",2021,"population",9267.13
"NM",2005,"population",1932.274
"NM",2006,"population",1962.137
"NM",2007,"population",1990.07
"NM",2008,"population",2010.662
"NM",2009,"population",2036.802
"NM",2010,"population",2064.614
"NM",2011,"population",2080.707
"NM",2012,"population",2087.715
"NM",2013,"population",2092.833
"NM",2014,"population",2090.236
"NM",2015,"population",2090.071
"NM",2016,"population",2092.555
"NM",2017,"population",2092.844
"NM",2018,"population",2093.754
"NM",2019,"population",2099.634
"NM",2020,"population",2117.566
"NM",2021,"population",2115.877
"NY",2005,"population",19132.61
"NY",2006,"population",19104.631
"NY",2007,"population",19132.335
"NY",2008,"population",19212.436
"NY",2009,"population",19307.066
"NY",2010,"population",19399.956
"NY",2011,"population",19499.921
"NY",2012,"population",19574.362
"NY",2013,"population",19626.488
"NY",2014,"population",19653.431
"NY",2015,"population",19657.321
"NY",2016,"population",19636.391
"NY",2017,"population",19593.849
"NY",2018,"population",19544.098
"NY",2019,"population",19463.131
"NY",2020,"population",20154.933
"NY",2021,"population",19835.913
"NC",2005,"population",8705.407
"NC",2006,"population",8917.27
"NC",2007,"population",9118.037
"NC",2008,"population",9309.449
"NC",2009,"population",9449.566
"NC",2010,"population",9574.586
"NC",2011,"population",9658.913
"NC",2012,"population",9751.81
"NC",2013,"population",9846.717
"NC",2014,"population",9937.295
"NC",2015,"population",10037.218
"NC",2016,"population",10161.802
"NC",2017,"population",10275.758
"NC",2018,"population",10391.358
"NC",2019,"population",10501.384
"NC",2020,"population",10457.177
"NC",2021,"population",10551.162
"ND",2005,"population",646.089
"ND",2006,"population",649.422
"ND",2007,"population",652.822
"ND",2008,"population",657.569
"ND",2009,"population",664.968
"ND",2010,"population",674.752
"ND",2011,"population",685.526
"ND",2012,"population",702.227
"ND",2013,"population",723.149
"ND",2014,"population",738.736
"ND",2015,"population",755.537
"ND",2016,"population",756.114
"ND",2017,"population",756.755
"ND",2018,"population",760.062
"ND",2019,"population",763.724
"ND",2020,"population",778.962
"ND",2021,"population",774.948
"OH",2005,"population",11463.32
"OH",2006,"population",11481.213
"OH",2007,"population",11500.468
"OH",2008,"population",11515.391
"OH",2009,"population",11528.896
"OH",2010,"population",11539.449
"OH",2011,"population",11545.735
"OH",2012,"population",11550.971
"OH",2013,"population",11579.692
"OH",2014,"population",11606.573
"OH",2015,"population",11622.315
"OH",2016,"population",11640.06
"OH",2017,"population",11665.706
"OH",2018,"population",11680.892
"OH",2019,"population",11696.507
"OH",2020,"population",11790.587
"OH",2021,"population",11780.017
"OK",2005,"population",3548.597
"OK",2006,"population",3594.09
"OK",2007,"population",3634.349
"OK",2008,"population",3668.976
"OK",2009,"population",3717.572
"OK",2010,"population",3760.014
"OK",2011,"population",3788.824
"OK",2012,"population",3819.32
"OK",2013,"population",3853.891
"OK",2014,"population",3879.187
"OK",2015,"population",3910.518
"OK",2016,"population",3928.143
"OK",2017,"population",3933.602
"OK",2018,"population",3943.488
"OK",2019,"population",3960.676
"OK",2020,"population",3962.031
"OK",2021,"population",3986.639
"OR",2005,"population",3613.202
"OR",2006,"population",3670.883
"OR",2007,"population",3722.417
"OR",2008,"population",3768.748
"OR",2009,"population",3808.6
"OR",2010,"population",3837.614
"OR",2011,"population",3872.672
"OR",2012,"population",3900.102
"OR",2013,"population",3924.11
"OR",2014,"population",3965.447
"OR",2015,"population",4018.542
"OR",2016,"population",4093.271
"OR",2017,"population",4147.294
"OR",2018,"population",4183.538
"OR",2019,"population",4216.116
"OR",2020,"population",4241.544
"OR",2021,"population",4246.155
"PA",2005,"population",12449.99
"PA",2006,"population",12510.809
"PA",2007,"population",12563.937
"PA",2008,"population",12612.285
"PA",2009,"population",12666.858
"PA",2010,"population",12711.406
"PA",2011,"population",12747.052
"PA",2012,"population",12769.123
"PA",2013,"population",12779.538
"PA",2014,"population",12792.392
"PA",2015,"population",12789.838
"PA",2016,"population",12788.468
"PA",2017,"population",12794.679
"PA",2018,"population",12809.107
"PA",2019,"population",12798.883
"PA",2020,"population",12989.625
"PA",2021,"population",12964.056
"RI",2005,"population",1067.916
"RI",2006,"population",1063.096
"RI",2007,"population",1057.315
"RI",2008,"population",1055.003
"RI",2009,"population",1053.646
"RI",2010,"population",1053.994
"RI",2011,"population",1053.829
"RI",2012,"population",1054.893
"RI",2013,"population",1055.56
"RI",2014,"population",1056.511
"RI",2015,"population",1056.886
"RI",2016,"population",1057.816
"RI",2017,"population",1056.554
"RI",2018,"population",1059.338
"RI",2019,"population",1058.158
"RI",2020,"population",1096.229
"RI",2021,"population",1095.61
"SC",2005,"population",4270.15
"SC",2006,"population",4357.847
"SC",2007,"population",4444.11
"SC",2008,"population",4528.996
"SC",2009,"population",4589.872
"SC",2010,"population",4635.846
"SC",2011,"population",4672.655
"SC",2012,"population",4719.027
"SC",2013,"population",4766.469
"SC",2014,"population",4826.858
"SC",2015,"population",4896.006
"SC",2016,"population",4963.031
"SC",2017,"population",5027.102
"SC",2018,"population",5091.702
"SC",2019,"population",5157.702
"SC",2020,"population",5130.729
"SC",2021,"population",5190.705
"SD",2005,"population",775.493
"SD",2006,"population",783.033
"SD",2007,"population",791.623
"SD",2008,"population",799.124
"SD",2009,"population",807.067
"SD",2010,"population",816.193
"SD",2011,"population",823.74
"SD",2012,"population",833.859
"SD",2013,"population",842.751
"SD",2014,"population",849.67
"SD",2015,"population",854.663
"SD",2016,"population",863.693
"SD",2017,"population",873.732
"SD",2018,"population",879.386
"SD",2019,"population",887.127
"SD",2020,"population",887.099
"SD",2021,"population",895.376
"TN",2005,"population",5991.057
"TN",2006,"population",6088.766
"TN",2007,"population",6175.727
"TN",2008,"population",6247.411
"TN",2009,"population",6306.019
"TN",2010,"population",6355.518
"TN",2011,"population",6400.298
"TN",2012,"population",6455.752
"TN",2013,"population",6496.943
"TN",2014,"population",6544.617
"TN",2015,"population",6595.354
"TN",2016,"population",6651.277
"TN",2017,"population",6714.748
"TN",2018,"population",6778.18
"TN",2019,"population",6830.325
"TN",2020,"population",6920.119
"TN",2021,"population",6975.218
"TX",2005,"population",22778.123
"TX",2006,"population",23359.58
"TX",2007,"population",23831.983
"TX",2008,"population",24309.039
"TX",2009,"population",24801.761
"TX",2010,"population",25241.897
"TX",2011,"population",25645.504
"TX",2012,"population",26084.12
"TX",2013,"population",26479.646
"TX",2014,"population",26963.092
"TX",2015,"population",27468.531
"TX",2016,"population",27914.064
"TX",2017,"population",28291.024
"TX",2018,"population",28624.564
"TX",2019,"population",28986.794
"TX",2020,"population",29217.653
"TX",2021,"population",29527.941
"UT",2005,"population",2457.719
"UT",2006,"population",2525.507
"UT",2007,"population",2597.746
"UT",2008,"population",2663.029
"UT",2009,"population",2723.421
"UT",2010,"population",2775.413
"UT",2011,"population",2814.797
"UT",2012,"population",2854.146
"UT",2013,"population",2898.773
"UT",2014,"population",2938.327
"UT",2015,"population",2983.626
"UT",2016,"population",3044.241
"UT",2017,"population",3103.54
"UT",2018,"population",3155.153
"UT",2019,"population",3203.383
"UT",2020,"population",3281.684
"UT",2021,"population",3337.975
"VT",2005,"population",621.215
"VT",2006,"population",622.892
"VT",2007,"population",623.481
"VT",2008,"population",624.151
"VT",2009,"population",624.817
"VT",2010,"population",625.886
"VT",2011,"population",627.197
"VT",2012,"population",626.361
"VT",2013,"population",626.603
"VT",2014,"population",625.693
"VT",2015,"population",625.81
"VT",2016,"population",624.366
"VT",2017,"population",625.132
"VT",2018,"population",624.802
"VT",2019,"population",624.046
"VT",2020,"population",642.495
"VT",2021,"population",645.57
"VA",2005,"population",7577.105
"VA",2006,"population",7673.725
"VA",2007,"population",7751
"VA",2008,"population",7833.496
"VA",2009,"population",7925.937
"VA",2010,"population",8024.004
"VA",2011,"population",8102.437
"VA",2012,"population",8187.456
"VA",2013,"population",8255.861
"VA",2014,"population",8315.43
"VA",2015,"population",8367.303
"VA",2016,"population",8417.651
"VA",2017,"population",8471.011
"VA",2018,"population",8510.92
"VA",2019,"population",8556.642
"VA",2020,"population",8632.044
"VA",2021,"population",8642.274
"WA",2005,"population",6257.305
"WA",2006,"population",6370.753
"WA",2007,"population",6461.587
"WA",2008,"population",6562.231
"WA",2009,"population",6667.426
"WA",2010,"population",6743.009
"WA",2011,"population",6827.479
"WA",2012,"population",6898.599
"WA",2013,"population",6966.252
"WA",2014,"population",7057.531
"WA",2015,"population",7167.287
"WA",2016,"population",7299.961
"WA",2017,"population",7427.951
"WA",2018,"population",7526.793
"WA",2019,"population",7614.024
"WA",2020,"population",7718.785
"WA",2021,"population",7738.692
"WV",2005,"population",1820.492
"WV",2006,"population",1827.912
"WV",2007,"population",1834.052
"WV",2008,"population",1840.31
"WV",2009,"population",1847.775
"WV",2010,"population",1854.265
"WV",2011,"population",1856.606
"WV",2012,"population",1857.446
"WV",2013,"population",1854.768
"WV",2014,"population",1850.569
"WV",2015,"population",1843.332
"WV",2016,"population",1832.435
"WV",2017,"population",1818.683
"WV",2018,"population",1805.953
"WV",2019,"population",1795.263
"WV",2020,"population",1789.798
"WV",2021,"population",1782.959
"WI",2005,"population",5546.166
"WI",2006,"population",5577.655
"WI",2007,"population",5610.775
"WI",2008,"population",5640.996
"WI",2009,"population",5669.264
"WI",2010,"population",5690.538
"WI",2011,"population",5705.84
"WI",2012,"population",5720.825
"WI",2013,"population",5738.012
"WI",2014,"population",5753.199
"WI",2015,"population",5762.927
"WI",2016,"population",5775.17
"WI",2017,"population",5793.147
"WI",2018,"population",5809.319
"WI",2019,"population",5824.581
"WI",2020,"population",5892.323
"WI",2021,"population",5895.908
"WY",2005,"population",514.157
"WY",2006,"population",522.667
"WY",2007,"population",534.876
"WY",2008,"population",546.043
"WY",2009,"population",559.851
"WY",2010,"population",564.531
"WY",2011,"population",567.491
"WY",2012,"population",576.656
"WY",2013,"population",582.62
"WY",2014,"population",583.159
"WY",2015,"population",586.389
"WY",2016,"population",585.243
"WY",2017,"population",579.994
"WY",2018,"population",579.054
"WY",2019,"population",580.116
"WY",2020,"population",577.267
"WY",2021,"population",578.803
"AL",2005,"rgdp",184369.5
"AL",2006,"rgdp",187270.8
"AL",2007,"rgdp",189002.5
"AL",2008,"rgdp",186946.7
"AL",2009,"rgdp",180707.2
"AL",2010,"rgdp",184702.4
"AL",2011,"rgdp",187605.8
"AL",2012,"rgdp",189245.5
"AL",2013,"rgdp",191369.8
"AL",2014,"rgdp",189886.3
"AL",2015,"rgdp",191335.2
"AL",2016,"rgdp",194283.8
"AL",2017,"rgdp",197566.6
"AL",2018,"rgdp",200800.9
"AL",2019,"rgdp",203383.9
"AL",2020,"rgdp",196906.1
"AL",2021,"rgdp",204884.6
"AK",2005,"rgdp",45657.1
"AK",2006,"rgdp",49190.2
"AK",2007,"rgdp",51721
"AK",2008,"rgdp",51252.1
"AK",2009,"rgdp",56215.1
"AK",2010,"rgdp",54601.5
"AK",2011,"rgdp",55280.3
"AK",2012,"rgdp",58283.6
"AK",2013,"rgdp",55354.3
"AK",2014,"rgdp",54188.2
"AK",2015,"rgdp",54740.8
"AK",2016,"rgdp",54246.6
"AK",2017,"rgdp",54129.5
"AK",2018,"rgdp",53249.6
"AK",2019,"rgdp",53336.5
"AK",2020,"rgdp",50161
"AK",2021,"rgdp",50300.3
"AZ",2005,"rgdp",262326
"AZ",2006,"rgdp",274179.4
"AZ",2007,"rgdp",283250.7
"AZ",2008,"rgdp",280810.1
"AZ",2009,"rgdp",257498.5
"AZ",2010,"rgdp",260307.1
"AZ",2011,"rgdp",266101.5
"AZ",2012,"rgdp",271440
"AZ",2013,"rgdp",273481.9
"AZ",2014,"rgdp",276948.9
"AZ",2015,"rgdp",282577
"AZ",2016,"rgdp",291275.2
"AZ",2017,"rgdp",302455.4
"AZ",2018,"rgdp",313618.7
"AZ",2019,"rgdp",323894.3
"AZ",2020,"rgdp",320550.6
"AZ",2021,"rgdp",337424.7
"AR",2005,"rgdp",105980
"AR",2006,"rgdp",108460.6
"AR",2007,"rgdp",107606.1
"AR",2008,"rgdp",106536.5
"AR",2009,"rgdp",102996.6
"AR",2010,"rgdp",105662
"AR",2011,"rgdp",107932.5
"AR",2012,"rgdp",108492.1
"AR",2013,"rgdp",110752.4
"AR",2014,"rgdp",111734.5
"AR",2015,"rgdp",112351
"AR",2016,"rgdp",112798.1
"AR",2017,"rgdp",113885.2
"AR",2018,"rgdp",115937.6
"AR",2019,"rgdp",116790.9
"AR",2020,"rgdp",114943.5
"AR",2021,"rgdp",120710.5
"CA",2005,"rgdp",1926842.1
"CA",2006,"rgdp",2002437.4
"CA",2007,"rgdp",2041192.2
"CA",2008,"rgdp",2061638.8
"CA",2009,"rgdp",1995439.7
"CA",2010,"rgdp",2036015
"CA",2011,"rgdp",2063827.5
"CA",2012,"rgdp",2113096.4
"CA",2013,"rgdp",2179229
"CA",2014,"rgdp",2256054.7
"CA",2015,"rgdp",2357452.9
"CA",2016,"rgdp",2427894.6
"CA",2017,"rgdp",2541769.3
"CA",2018,"rgdp",2643576.3
"CA",2019,"rgdp",2739343.4
"CA",2020,"rgdp",2663665.9
"CA",2021,"rgdp",2871424.2
"CO",2005,"rgdp",251558.4
"CO",2006,"rgdp",257430.2
"CO",2007,"rgdp",266887.5
"CO",2008,"rgdp",270981.4
"CO",2009,"rgdp",264966.3
"CO",2010,"rgdp",267858.9
"CO",2011,"rgdp",271700.6
"CO",2012,"rgdp",276823.1
"CO",2013,"rgdp",286259.1
"CO",2014,"rgdp",298655.3
"CO",2015,"rgdp",312409.7
"CO",2016,"rgdp",318953.4
"CO",2017,"rgdp",329960.6
"CO",2018,"rgdp",342535.9
"CO",2019,"rgdp",356773.6
"CO",2020,"rgdp",346011.3
"CO",2021,"rgdp",365918.3
"CT",2005,"rgdp",238549.5
"CT",2006,"rgdp",248233.8
"CT",2007,"rgdp",257953
"CT",2008,"rgdp",257756
"CT",2009,"rgdp",244894.7
"CT",2010,"rgdp",244354.7
"CT",2011,"rgdp",238542.4
"CT",2012,"rgdp",240911.9
"CT",2013,"rgdp",236050.6
"CT",2014,"rgdp",235780.9
"CT",2015,"rgdp",242706.5
"CT",2016,"rgdp",243286.7
"CT",2017,"rgdp",247358.5
"CT",2018,"rgdp",249998.1
"CT",2019,"rgdp",251495.1
"CT",2020,"rgdp",235888.6
"CT",2021,"rgdp",245782.6
"DE",2005,"rgdp",59335.1
"DE",2006,"rgdp",60624.3
"DE",2007,"rgdp",60477.9
"DE",2008,"rgdp",58655.7
"DE",2009,"rgdp",61517.7
"DE",2010,"rgdp",60577.2
"DE",2011,"rgdp",62919.3
"DE",2012,"rgdp",62354.6
"DE",2013,"rgdp",60235.8
"DE",2014,"rgdp",64940.1
"DE",2015,"rgdp",66793.5
"DE",2016,"rgdp",63001.3
"DE",2017,"rgdp",60801.2
"DE",2018,"rgdp",61735.1
"DE",2019,"rgdp",64262.4
"DE",2020,"rgdp",62056.2
"DE",2021,"rgdp",64338
"FL",2005,"rgdp",815755.8
"FL",2006,"rgdp",839963.8
"FL",2007,"rgdp",850048.6
"FL",2008,"rgdp",816070.2
"FL",2009,"rgdp",769061.1
"FL",2010,"rgdp",775039.5
"FL",2011,"rgdp",772021.3
"FL",2012,"rgdp",778545
"FL",2013,"rgdp",794842.1
"FL",2014,"rgdp",817233.5
"FL",2015,"rgdp",852242.4
"FL",2016,"rgdp",881539.2
"FL",2017,"rgdp",912966.2
"FL",2018,"rgdp",943463.4
"FL",2019,"rgdp",971619.2
"FL",2020,"rgdp",944000.8
"FL",2021,"rgdp",1008694
"GA",2005,"rgdp",447152.9
"GA",2006,"rgdp",453032.1
"GA",2007,"rgdp",455904
"GA",2008,"rgdp",445764.6
"GA",2009,"rgdp",428740.7
"GA",2010,"rgdp",433727.2
"GA",2011,"rgdp",441626.7
"GA",2012,"rgdp",447764.7
"GA",2013,"rgdp",454908.9
"GA",2014,"rgdp",470009.7
"GA",2015,"rgdp",489182.3
"GA",2016,"rgdp",506816.2
"GA",2017,"rgdp",524874.7
"GA",2018,"rgdp",539300.3
"GA",2019,"rgdp",558277.3
"GA",2020,"rgdp",536693
"GA",2021,"rgdp",567939.5
"HI",2005,"rgdp",67123.9
"HI",2006,"rgdp",68759.3
"HI",2007,"rgdp",70080.4
"HI",2008,"rgdp",70460.8
"HI",2009,"rgdp",67927.5
"HI",2010,"rgdp",69628.1
"HI",2011,"rgdp",70646.6
"HI",2012,"rgdp",71905.3
"HI",2013,"rgdp",73063.2
"HI",2014,"rgdp",73512.4
"HI",2015,"rgdp",75869.5
"HI",2016,"rgdp",77303.9
"HI",2017,"rgdp",78941.6
"HI",2018,"rgdp",79854.7
"HI",2019,"rgdp",79175.4
"HI",2020,"rgdp",70625.2
"HI",2021,"rgdp",73879.5
"ID",2005,"rgdp",56043
"ID",2006,"rgdp",57613.7
"ID",2007,"rgdp",58670.9
"ID",2008,"rgdp",60309.5
"ID",2009,"rgdp",57327.9
"ID",2010,"rgdp",58281.8
"ID",2011,"rgdp",58226.2
"ID",2012,"rgdp",58323.9
"ID",2013,"rgdp",60631.2
"ID",2014,"rgdp",62454
"ID",2015,"rgdp",63081.2
"ID",2016,"rgdp",65479
"ID",2017,"rgdp",66980.5
"ID",2018,"rgdp",71075.4
"ID",2019,"rgdp",73912
"ID",2020,"rgdp",73655.4
"ID",2021,"rgdp",77912.9
"IL",2005,"rgdp",687706.6
"IL",2006,"rgdp",704827.6
"IL",2007,"rgdp",712619.8
"IL",2008,"rgdp",706616.5
"IL",2009,"rgdp",688161
"IL",2010,"rgdp",698179.6
"IL",2011,"rgdp",711283.4
"IL",2012,"rgdp",726399.1
"IL",2013,"rgdp",726125
"IL",2014,"rgdp",741194
"IL",2015,"rgdp",751754.9
"IL",2016,"rgdp",749333.5
"IL",2017,"rgdp",755594.7
"IL",2018,"rgdp",774065
"IL",2019,"rgdp",777653.8
"IL",2020,"rgdp",737643.6
"IL",2021,"rgdp",774587.8
"IN",2005,"rgdp",290328.2
"IN",2006,"rgdp",296112.7
"IN",2007,"rgdp",304085.7
"IN",2008,"rgdp",300962.6
"IN",2009,"rgdp",279520.7
"IN",2010,"rgdp",297517.3
"IN",2011,"rgdp",299064.5
"IN",2012,"rgdp",300513.9
"IN",2013,"rgdp",307279.1
"IN",2014,"rgdp",316783.1
"IN",2015,"rgdp",313751.2
"IN",2016,"rgdp",319601.5
"IN",2017,"rgdp",325841.7
"IN",2018,"rgdp",337149.6
"IN",2019,"rgdp",338350.1
"IN",2020,"rgdp",329863.3
"IN",2021,"rgdp",352624.1
"IA",2005,"rgdp",144577.3
"IA",2006,"rgdp",146555.3
"IA",2007,"rgdp",152861.8
"IA",2008,"rgdp",149881.4
"IA",2009,"rgdp",146182.8
"IA",2010,"rgdp",150148.4
"IA",2011,"rgdp",152435.2
"IA",2012,"rgdp",158538.4
"IA",2013,"rgdp",158480.8
"IA",2014,"rgdp",166619.2
"IA",2015,"rgdp",171126.5
"IA",2016,"rgdp",170389.1
"IA",2017,"rgdp",170182.7
"IA",2018,"rgdp",172929.4
"IA",2019,"rgdp",172906
"IA",2020,"rgdp",169420.3
"IA",2021,"rgdp",180266.1
"KS",2005,"rgdp",123949.8
"KS",2006,"rgdp",130364.5
"KS",2007,"rgdp",137093.6
"KS",2008,"rgdp",139536.8
"KS",2009,"rgdp",134227
"KS",2010,"rgdp",135723.2
"KS",2011,"rgdp",139579.4
"KS",2012,"rgdp",141818.2
"KS",2013,"rgdp",141723.4
"KS",2014,"rgdp",145344.1
"KS",2015,"rgdp",148810.5
"KS",2016,"rgdp",153695.3
"KS",2017,"rgdp",155407.9
"KS",2018,"rgdp",158906.3
"KS",2019,"rgdp",160182.3
"KS",2020,"rgdp",156770.1
"KS",2021,"rgdp",162734
"KY",2005,"rgdp",171180.3
"KY",2006,"rgdp",175657.7
"KY",2007,"rgdp",174407.3
"KY",2008,"rgdp",173810.1
"KY",2009,"rgdp",166704.2
"KY",2010,"rgdp",173780.1
"KY",2011,"rgdp",175745.3
"KY",2012,"rgdp",178143.7
"KY",2013,"rgdp",181505.9
"KY",2014,"rgdp",181471.8
"KY",2015,"rgdp",182916
"KY",2016,"rgdp",184115
"KY",2017,"rgdp",185866.5
"KY",2018,"rgdp",188083.6
"KY",2019,"rgdp",191355.5
"KY",2020,"rgdp",185535.1
"KY",2021,"rgdp",194340
"LA",2005,"rgdp",247773.2
"LA",2006,"rgdp",245500.2
"LA",2007,"rgdp",230367.7
"LA",2008,"rgdp",232150.7
"LA",2009,"rgdp",236411
"LA",2010,"rgdp",246836.2
"LA",2011,"rgdp",234975.7
"LA",2012,"rgdp",235384.7
"LA",2013,"rgdp",228452.8
"LA",2014,"rgdp",235355.1
"LA",2015,"rgdp",233016
"LA",2016,"rgdp",228428.5
"LA",2017,"rgdp",233774.4
"LA",2018,"rgdp",236265.6
"LA",2019,"rgdp",235947.6
"LA",2020,"rgdp",222296.8
"LA",2021,"rgdp",227734.6
"ME",2005,"rgdp",54926.9
"ME",2006,"rgdp",55448.4
"ME",2007,"rgdp",55359.9
"ME",2008,"rgdp",54653.9
"ME",2009,"rgdp",53630.1
"ME",2010,"rgdp",54305
"ME",2011,"rgdp",53789
"ME",2012,"rgdp",53679.7
"ME",2013,"rgdp",53239.1
"ME",2014,"rgdp",54037.9
"ME",2015,"rgdp",54425.8
"ME",2016,"rgdp",55565.4
"ME",2017,"rgdp",56662.6
"ME",2018,"rgdp",58178.8
"ME",2019,"rgdp",59433.9
"ME",2020,"rgdp",58757.3
"ME",2021,"rgdp",61815.1
"MD",2005,"rgdp",301660.6
"MD",2006,"rgdp",305794.1
"MD",2007,"rgdp",306755.8
"MD",2008,"rgdp",314757.6
"MD",2009,"rgdp",311342.2
"MD",2010,"rgdp",325369.7
"MD",2011,"rgdp",332437.2
"MD",2012,"rgdp",332523.5
"MD",2013,"rgdp",334268.9
"MD",2014,"rgdp",339604.6
"MD",2015,"rgdp",348151.8
"MD",2016,"rgdp",360082
"MD",2017,"rgdp",366680.5
"MD",2018,"rgdp",368643.9
"MD",2019,"rgdp",369623.9
"MD",2020,"rgdp",353052.5
"MD",2021,"rgdp",364242.4
"MA",2005,"rgdp",386803.5
"MA",2006,"rgdp",395535.8
"MA",2007,"rgdp",406421.2
"MA",2008,"rgdp",414919.9
"MA",2009,"rgdp",407219.6
"MA",2010,"rgdp",425792.7
"MA",2011,"rgdp",434494.5
"MA",2012,"rgdp",442916.9
"MA",2013,"rgdp",444874
"MA",2014,"rgdp",451568.9
"MA",2015,"rgdp",468060.9
"MA",2016,"rgdp",475349
"MA",2017,"rgdp",484413.8
"MA",2018,"rgdp",502954.3
"MA",2019,"rgdp",517727.1
"MA",2020,"rgdp",498577
"MA",2021,"rgdp",530505.1
"MI",2005,"rgdp",457137.7
"MI",2006,"rgdp",449853.5
"MI",2007,"rgdp",446943.2
"MI",2008,"rgdp",420974
"MI",2009,"rgdp",383140.1
"MI",2010,"rgdp",404216.9
"MI",2011,"rgdp",414834.4
"MI",2012,"rgdp",422691.2
"MI",2013,"rgdp",428737.6
"MI",2014,"rgdp",434313.2
"MI",2015,"rgdp",443831.2
"MI",2016,"rgdp",452325.2
"MI",2017,"rgdp",457764.9
"MI",2018,"rgdp",467830.4
"MI",2019,"rgdp",467300.2
"MI",2020,"rgdp",445682.6
"MI",2021,"rgdp",473333.1
"MN",2005,"rgdp",284636.9
"MN",2006,"rgdp",284382
"MN",2007,"rgdp",286299.2
"MN",2008,"rgdp",288420.6
"MN",2009,"rgdp",277494.1
"MN",2010,"rgdp",287140.1
"MN",2011,"rgdp",293783.2
"MN",2012,"rgdp",298328.3
"MN",2013,"rgdp",305486.4
"MN",2014,"rgdp",314091.3
"MN",2015,"rgdp",318913.2
"MN",2016,"rgdp",324030.3
"MN",2017,"rgdp",328696.1
"MN",2018,"rgdp",338524.5
"MN",2019,"rgdp",340130.4
"MN",2020,"rgdp",326635.6
"MN",2021,"rgdp",345172
"MS",2005,"rgdp",96820.7
"MS",2006,"rgdp",99005.8
"MS",2007,"rgdp",100211.8
"MS",2008,"rgdp",101777.6
"MS",2009,"rgdp",98000.6
"MS",2010,"rgdp",98601.1
"MS",2011,"rgdp",98515.8
"MS",2012,"rgdp",100448.4
"MS",2013,"rgdp",100331.2
"MS",2014,"rgdp",100283.6
"MS",2015,"rgdp",100482.4
"MS",2016,"rgdp",101255.3
"MS",2017,"rgdp",101642.1
"MS",2018,"rgdp",101131.5
"MS",2019,"rgdp",101525.1
"MS",2020,"rgdp",99667.5
"MS",2021,"rgdp",104009.8
"MO",2005,"rgdp",265735.1
"MO",2006,"rgdp",267221.1
"MO",2007,"rgdp",267691.2
"MO",2008,"rgdp",273436.2
"MO",2009,"rgdp",266834.9
"MO",2010,"rgdp",270732.9
"MO",2011,"rgdp",268533.8
"MO",2012,"rgdp",271535.1
"MO",2013,"rgdp",274599.3
"MO",2014,"rgdp",276080.7
"MO",2015,"rgdp",279020.8
"MO",2016,"rgdp",279109.2
"MO",2017,"rgdp",282174.2
"MO",2018,"rgdp",285995.1
"MO",2019,"rgdp",290842
"MO",2020,"rgdp",282654.2
"MO",2021,"rgdp",295726
"MT",2005,"rgdp",37373.9
"MT",2006,"rgdp",38577.6
"MT",2007,"rgdp",40438.3
"MT",2008,"rgdp",40471.1
"MT",2009,"rgdp",39513.4
"MT",2010,"rgdp",40793.7
"MT",2011,"rgdp",41875.7
"MT",2012,"rgdp",42340.9
"MT",2013,"rgdp",42968.2
"MT",2014,"rgdp",43829.1
"MT",2015,"rgdp",45395.7
"MT",2016,"rgdp",44436.8
"MT",2017,"rgdp",45910.5
"MT",2018,"rgdp",46614.1
"MT",2019,"rgdp",46788
"MT",2020,"rgdp",46158.1
"MT",2021,"rgdp",49263.7
"NE",2005,"rgdp",89309.1
"NE",2006,"rgdp",91832.7
"NE",2007,"rgdp",93910.8
"NE",2008,"rgdp",93840.5
"NE",2009,"rgdp",93977.6
"NE",2010,"rgdp",97466.1
"NE",2011,"rgdp",102587.4
"NE",2012,"rgdp",102725.9
"NE",2013,"rgdp",104680
"NE",2014,"rgdp",107936.8
"NE",2015,"rgdp",111401.5
"NE",2016,"rgdp",112611.5
"NE",2017,"rgdp",114480.9
"NE",2018,"rgdp",116904.4
"NE",2019,"rgdp",118286.5
"NE",2020,"rgdp",117664.9
"NE",2021,"rgdp",123897
"NV",2005,"rgdp",137508.8
"NV",2006,"rgdp",142967.1
"NV",2007,"rgdp",144107.1
"NV",2008,"rgdp",139954.2
"NV",2009,"rgdp",128241.3
"NV",2010,"rgdp",129828.4
"NV",2011,"rgdp",130697.9
"NV",2012,"rgdp",129312.9
"NV",2013,"rgdp",129720.9
"NV",2014,"rgdp",130897.4
"NV",2015,"rgdp",136347.4
"NV",2016,"rgdp",140081.2
"NV",2017,"rgdp",145699.9
"NV",2018,"rgdp",150711.6
"NV",2019,"rgdp",156828.8
"NV",2020,"rgdp",145219.1
"NV",2021,"rgdp",155509.6
"NH",2005,"rgdp",65034.4
"NH",2006,"rgdp",66628.2
"NH",2007,"rgdp",66853.6
"NH",2008,"rgdp",65854.1
"NH",2009,"rgdp",65023.4
"NH",2010,"rgdp",67125.8
"NH",2011,"rgdp",67559.1
"NH",2012,"rgdp",68498.1
"NH",2013,"rgdp",69080.3
"NH",2014,"rgdp",70213.7
"NH",2015,"rgdp",72042.4
"NH",2016,"rgdp",73572.2
"NH",2017,"rgdp",74107.3
"NH",2018,"rgdp",75534.6
"NH",2019,"rgdp",77126.5
"NH",2020,"rgdp",75543.1
"NH",2021,"rgdp",81931.8
"NJ",2005,"rgdp",507894.7
"NJ",2006,"rgdp",516681.4
